eval_id,customer_message,predicted_intent,response,escalate,escalation_reason,human_relevant,human_grounded,human_safe,human_escalation_correct,human_reason
21,The Touch ID on my iPhone 8 literally never works.,I6,"Could you let us know if Touch ID works with any fingerprint you add, or if it fails from the start? Also, what iOS version are you running?",False,Historical evidence supports an automated response.,,,,,
22,New Android Phone smokes iPhoneX in speed test (& it's half the price) hey since iOS11 my iPhone6plus is slower than a Sydney train & they’re fcuk’n slow,I1,We’re sorry to hear your iPhone 6 Plus feels slow. Could you please let us know the exact iOS 11 version you’re running and any recent changes? We’ll help you troubleshoot from there.,False,Historical evidence supports an automated response.,,,,,
23,Ordered my X 15 mins into pre-order. Seeing ppl who ordered same model AFTER me getting delivery dates moved up. WHY?,I9,Thank you for reaching out. Please DM us your country so we can review your order details and provide further assistance.,True,"Purchase, repair, return, or warranty cases may require human handling.",,,,,
24,can you explain why my phone just deleted all of my messages except for the last one that they or i sent,I7,"I’m sorry to hear that. Could you let me know which iPhone model you’re using, the iOS version, and how much storage is available? That will help us figure out what’s going on. Please DM us so we can look into this with you.",True,Account or security cases may require human handling.,,,,,
25,"Dear ,",I7,Could you please let us know what issue you’re experiencing? Please DM us so we can look into this with you.,True,Account or security cases may require human handling.,,,,,
26,"I have no idea how to report bugs with iOS 11, so I got a Twitter so I can tweet them",I1,We can help you report the bug. Could you let us know which iOS 11 version you’re using? Please DM us with the details.,False,Historical evidence supports an automated response.,,,,,
27,keep getting this message whenever I try 2 update apps. This started after I got iOS 11.0.2 today. Restart didn’t help 😕,I1,Could you let us know which iPhone model you’re using? That will help us pinpoint the issue.,False,Historical evidence supports an automated response.,,,,,
28,nice one on this MacBook charger just blew the upstairs fuse out and now my MacBook has no charge is dead and I’ve lost all my homework,I10,We’re sorry to hear about the charger issue. Please DM us your country and Mac model so we can help you further.,False,Historical evidence supports an automated response.,,,,,
29,"No, this has not helped it is still randomly shutting down.",I5,Could you please send us a DM with your iPhone model and iOS version so we can investigate further?,False,Historical evidence supports an automated response.,,,,,
30,is the iphone upgrade program only available in the US? 😒😔,I9,The iPhone Upgrade Program is currently only available in the United States. Please DM us so we can look into this with you.,True,"Purchase, repair, return, or warranty cases may require human handling.",,,,,
31,Is my Apple Music the only one tripping.. songs not adding to library or playlists.. playlist outta order!,I8,Thanks for reaching out. Could you let me know which device and iOS version you’re using?,False,Historical evidence supports an automated response.,,,,,
32,"On some sites, after registering, it prompts to Update Pass instead of Save Pass. Then saves nothing. On other sites, it never saves rt pass",I1,We’d like to look into this with you. Please send us a DM so we can help further.,False,Historical evidence supports an automated response.,,,,,
33,please fix the mute feature my shit ain’t working I️ need it to work,I1,Thanks for reaching out. Please send us a DM so we can help you get the mute feature working again.,False,Historical evidence supports an automated response.,,,,,
34,why is my keychain access refusing to take my password. I’m starting to never want to do any updates with your products,I7,Could you let us know which Mac and macOS version you’re using? Please DM us so we can look into this with you.,True,Account or security cases may require human handling.,,,,,
35,this autocorrect issue is getting ridiculous. When are you deploying a fix?,I1,We’re sorry you’re experiencing this. Could you let us know which device and iOS version you’re using?,False,Historical evidence supports an automated response.,,,,,
36,since I updated my new 6s plus to 11.1.1 iOS I no longer am receiving any of my phone calls or voice mails. #1 job is phone.,I1,"We’re sorry to hear about the call issue. Please DM us with your iPhone model, iOS version, and any carrier updates you’ve received so we can investigate further.",False,Historical evidence supports an automated response.,,,,,
37,IOS11 broke my bf phone. I hate you :),I2,We’re sorry to hear about the trouble. Could you let us know what’s happening with the phone so we can help?,False,Historical evidence supports an automated response.,,,,,
38,I’m tired of these fucking boxes,I1,Here’s what you can do to work around the issue until it’s fixed in a future software update:,False,Historical evidence supports an automated response.,,,,,
39,So I just updated my phone and the I problem still isn’t fixed. Tf??,I3,Could you let us know which iOS version you’re running? Tap Settings > General > About to find the version number and send it to us in a DM. We’ll look into it further.,False,Historical evidence supports an automated response.,,,,,
40,Problems with iPhone alarms since latest iOS update . They are practically silent & no longer vibrate! #overslept - twice 😖,I1,Hi! Could you let us know which iOS version you’re running and the model of your iPhone? That’ll help us troubleshoot the alarm issue.,False,Historical evidence supports an automated response.,,,,,
